20170311000216.289 04548-00001| ***** チロルチョコロボット大会システム 'キャプチャ' 起動 *****
20170311000453.668 12500-00001| [RE]２ｍ斜面ダッシュ２ｍ斜面ダッシュ 1|なべ|νチロモン| [1段, 200cm, 0秒, -1個]
20170311001125.466 12500-00001| [RE]２ｍ斜面ダッシュ２ｍ斜面ダッシュ 1|くまま|コガルー| [1段, 200cm, 260秒, -1個]
20170311002228.923 12500-00001| システム終了
20170311002228.927 12500-00001| ***** チロルチョコロボット大会システム 終了 *****
20170311003338.448 00984-00001| ***** チロルチョコロボット大会システム 起動 *****
20170311003348.007 00984-00001| システム起動します
20170311003348.064 00984-00001| システム初期化
20170311003348.068 00984-00001| データパスルート : ..\..\DATA\
20170311003348.170 00984-00001| サウンドデータ ちろるちょころぼっとのうた(loop) : LOADING... ..\..\DATA\\SOUND\TirolChocoRobotOP01b-MIKUa-MIXe.mp3
20170311003348.936 00984-00001| サウンドデータ ブリーフィング(loop) : LOADING... ..\..\DATA\\SOUND\TirolChocoRobotBF01d.mp3
20170311003349.749 00984-00001| サウンドデータ ２ｍダッシュ(loop) : LOADING... ..\..\DATA\\SOUND\TirolChocoRobotGM102b.mp3
20170311003350.587 00984-00001| サウンドデータ ア・ラ・カ・ル・ト(loop) : LOADING... ..\..\DATA\\SOUND\TirolChocoRobotGM201b.mp3
20170311003351.394 00984-00001| サウンドデータ チョコゲッター(loop) : LOADING... ..\..\DATA\\SOUND\TirolChocoRobotGM302b.mp3
20170311003352.217 00984-00001| サウンドデータ ファンファーレ１: LOADING... ..\..\DATA\\SOUND\TirolChocoRobotFF101c.mp3
20170311003353.041 00984-00001| サウンドデータ ファンファーレ２: LOADING... ..\..\DATA\\SOUND\TirolChocoRobotFF202b.mp3
20170311003353.884 00984-00001| サウンドデータ ファンファーレ３: LOADING... ..\..\DATA\\SOUND\TirolChocoRobotFF303b.mp3
20170311003354.718 00984-00001| サウンドデータ はじめ: LOADING... ..\..\DATA\\SOUND\start.wav
20170311003355.570 00984-00001| サウンドデータ １分前: LOADING... ..\..\DATA\\SOUND\1min.wav
20170311003356.428 00984-00001| サウンドデータ ３０秒前: LOADING... ..\..\DATA\\SOUND\30sec.wav
20170311003357.252 00984-00001| サウンドデータ １０秒前: LOADING... ..\..\DATA\\SOUND\10sec.wav
20170311003358.103 00984-00001| サウンドデータ ５: LOADING... ..\..\DATA\\SOUND\5sec.wav
20170311003358.934 00984-00001| サウンドデータ ４: LOADING... ..\..\DATA\\SOUND\4sec.wav
20170311003359.779 00984-00001| サウンドデータ ３: LOADING... ..\..\DATA\\SOUND\3sec.wav
20170311003400.605 00984-00001| サウンドデータ ２: LOADING... ..\..\DATA\\SOUND\2sec.wav
20170311003401.458 00984-00001| サウンドデータ １: LOADING... ..\..\DATA\\SOUND\1sec.wav
20170311003402.302 00984-00001| サウンドデータ しゅうりょう: LOADING... ..\..\DATA\\SOUND\end.wav
